"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2008","1,312.68","1,275.61","1,319.24","1,273.10","","2.99%"
"02/01/2008","1,274.62","1,287.11","1,291.88","1,263.74","","-0.99%"
"01/01/2008","1,287.42","1,284.81","1,313.30","1,281.97","","0.12%"
"12/01/2007","1,285.92","1,266.71","1,290.10","1,246.05","","1.53%"
"11/01/2007","1,266.56","1,218.34","1,274.52","1,214.98","","4.02%"
"10/01/2007","1,217.62","1,212.79","1,227.36","1,202.70","","-0.06%"
"09/01/2007","1,218.36","1,243.89","1,256.71","1,213.32","","-2.10%"
"08/01/2007","1,244.53","1,218.80","1,249.70","1,218.80","","2.16%"
"07/01/2007","1,218.22","1,183.04","1,223.88","1,181.07","","2.66%"
"06/01/2007","1,186.70","1,153.75","1,201.57","1,144.59","","2.81%"
"05/01/2007","1,154.23","1,178.30","1,181.54","1,128.38","","-2.13%"
"04/01/2007","1,179.41","1,178.25","1,181.55","1,173.07","","-0.08%"
"03/01/2007","1,180.34","1,190.52","1,193.07","1,173.12","","0.02%"
"02/01/2007","1,180.09","1,179.40","1,180.09","1,179.40","","0.82%"
"01/01/2007","1,170.45","1,169.73","1,170.45","1,169.73","","1.61%"
"12/01/2006","1,151.90","1,150.80","1,151.90","1,150.80","","-1.55%"
"11/01/2006","1,170.01","1,169.22","1,170.01","1,169.22","","1.37%"
"10/01/2006","1,154.20","1,152.57","1,154.20","1,152.57","","-0.85%"
"09/01/2006","1,164.12","1,161.95","1,164.12","1,161.95","","1.57%"
"08/01/2006","1,146.09","1,143.72","1,146.09","1,143.72","","0.43%"
"07/01/2006","1,141.15","1,139.76","1,141.15","1,139.76","","-1.54%"
"06/01/2006","1,158.97","1,158.55","1,158.97","1,158.55","","0.48%"
"05/01/2006","1,153.41","1,151.81","1,153.41","1,151.81","","5.22%"
"04/01/2006","1,096.22","1,094.01","1,096.22","1,094.01","","-3.28%"
"03/01/2006","1,133.39","1,131.24","1,133.39","1,131.24","","-0.76%"
"02/01/2006","1,142.05","1,141.01","1,142.05","1,141.01","","-1.73%"
"01/01/2006","1,162.20","1,160.93","1,162.20","1,160.93","","-4.59%"
"12/01/2005","1,218.06","1,215.90","1,218.06","1,215.90","","-1.85%"
"11/01/2005","1,241.03","1,238.80","1,241.03","1,238.80","","-0.90%"
"10/01/2005","1,252.30","1,248.98","1,252.30","1,248.98","","-1.61%"
"09/01/2005","1,272.84","1,269.18","1,272.84","1,269.18","","0.10%"
"08/01/2005","1,271.63","1,256.20","1,271.63","1,256.20","","5.12%"
"07/01/2005","1,209.65","1,209.04","1,209.65","1,209.04","","2.58%"
"06/01/2005","1,179.24","1,178.28","1,179.24","1,178.28","","2.54%"
"05/01/2005","1,150.00","1,148.79","1,150.00","1,148.79","","-0.54%"
"04/01/2005","1,156.29","1,154.84","1,156.29","1,154.84","","1.05%"
"03/01/2005","1,144.33","1,143.48","1,144.33","1,143.48","","2.23%"
"02/01/2005","1,119.37","1,117.86","1,119.37","1,117.86","","1.08%"
"01/01/2005","1,107.36","1,106.75","1,107.36","1,106.75","","-1.27%"
"12/01/2004","1,121.55","1,120.04","1,121.55","1,120.04","","3.14%"
"11/01/2004","1,087.41","1,086.81","1,087.41","1,086.81","","-0.96%"
"10/01/2004","1,097.99","1,097.08","1,097.99","1,097.08","","-0.68%"
"09/01/2004","1,105.46","1,104.56","1,105.46","1,104.56","","-2.33%"
"08/01/2004","1,131.81","1,130.90","1,131.81","1,130.90","","2.47%"
"07/01/2004","1,104.52","1,103.92","1,104.52","1,103.92","","-2.70%"
"06/01/2004","1,135.12","1,134.52","1,135.12","1,134.52","","1.38%"
"05/01/2004","1,119.69","1,118.79","1,119.69","1,118.79","","5.52%"
"04/01/2004","1,061.12","1,050.49","1,061.12","1,050.49","","2.56%"
"03/01/2004","1,034.62","1,034.31","1,034.62","1,034.31","","1.28%"
"02/01/2004","1,021.51","1,020.91","1,021.51","1,020.91","","-0.04%"
"01/01/2004","1,021.95","1,021.77","1,021.95","1,021.77","","0.43%"
"12/01/2003","1,017.62","1,016.11","1,017.62","1,016.11","","-0.97%"
"11/01/2003","1,027.55","1,026.94","1,027.55","1,026.94","","0.10%"
"10/01/2003","1,026.57","1,026.39","1,026.57","1,026.39","","1.21%"
"09/01/2003","1,014.25","1,013.64","1,014.25","1,013.64","","-1.06%"
"08/01/2003","1,025.11","1,024.50","1,025.11","1,024.50","","-0.29%"
"07/01/2003","1,028.11","1,026.89","1,028.11","1,026.89","","3.15%"
"06/01/2003","996.67","996.06","996.67","996.06","","-0.73%"
"05/01/2003","1,004.01","1,002.80","1,004.01","1,002.80","","-4.19%"
"04/01/2003","1,047.89","1,047.59","1,047.89","1,047.59","","-2.56%"
"03/01/2003","1,075.40","1,074.98","1,075.40","1,074.98","","0.20%"
"02/01/2003","1,073.21","1,072.91","1,073.21","1,072.91","","0.14%"
"01/01/2003","1,071.67","1,071.07","1,071.67","1,071.07","","-0.87%"
"12/01/2002","1,081.11","1,079.71","1,081.11","1,079.71","","-0.32%"
"11/01/2002","1,084.60","1,083.69","1,084.60","1,083.69","","-2.74%"
"10/01/2002","1,115.14","1,114.90","1,115.14","1,114.90","","2.63%"
"09/01/2002","1,086.59","1,086.10","1,086.59","1,086.10","","1.56%"
"08/01/2002","1,069.86","1,069.25","1,069.86","1,069.25","","-2.31%"
"07/01/2002","1,095.18","1,094.04","1,095.18","1,094.04","","4.04%"
"06/01/2002","1,052.66","1,051.46","1,052.66","1,051.46","","0.17%"
"05/01/2002","1,050.87","1,049.36","1,050.87","1,049.36","","-6.77%"
"04/01/2002","1,127.18","1,125.97","1,127.18","1,125.97","","-5.04%"
"03/01/2002","1,186.97","1,183.95","1,186.97","1,183.95","","-3.21%"
"02/01/2002","1,226.37","1,225.16","1,226.37","1,225.16","","-1.60%"
"01/01/2002","1,246.30","1,245.09","1,246.30","1,245.09","","-0.82%"
"12/01/2001","1,256.55","1,250.51","1,256.55","1,250.51","","-0.61%"
"11/01/2001","1,264.32","1,262.50","1,264.32","1,262.50","","-0.10%"
"10/01/2001","1,265.59","1,262.57","1,265.59","1,262.57","","7.91%"
"09/01/2001","1,172.86","1,171.35","1,172.86","1,171.35","","9.54%"
"08/01/2001","1,070.75","1,069.24","1,070.75","1,069.24","","-6.71%"
"07/01/2001","1,147.76","1,144.74","1,147.76","1,144.74","","-16.60%"
"06/01/2001","1,376.15","1,374.94","1,376.15","1,374.94","","2.39%"
"05/01/2001","1,344.09","1,341.07","1,344.09","1,341.07","","-4.09%"
"04/01/2001","1,401.41","1,395.37","1,401.41","1,395.37","","11.36%"
"03/01/2001","1,258.50","1,258.20","1,258.50","1,258.20","","5.61%"
"02/01/2001","1,191.67","1,185.63","1,191.67","1,185.63","","4.39%"
"01/01/2001","1,141.57","1,135.53","1,141.57","1,135.53","","-2.33%"
"12/01/2000","1,168.85","1,162.80","1,168.85","1,162.80","","1.53%"
"11/01/2000","1,151.28","1,148.87","1,151.28","1,148.87","","1.95%"
"10/01/2000","1,129.26","1,126.55","1,129.26","1,126.55","","6.74%"
"09/01/2000","1,057.99","1,055.58","1,057.99","1,055.58","","5.21%"
"08/01/2000","1,005.60","1,002.58","1,005.60","1,002.58","","-6.72%"
"07/01/2000","1,078.00","1,074.98","1,078.00","1,074.98","","1.87%"
"06/01/2000","1,058.20","1,056.39","1,058.20","1,056.39","","1.32%"
"05/01/2000","1,044.42","1,041.40","1,044.42","1,041.40","","9.12%"
"04/01/2000","957.14","954.12","957.14","954.12","","4.68%"
"03/01/2000","914.39","912.58","914.39","912.58","","1.81%"
"02/01/2000","898.10","896.29","898.10","896.29","","-0.14%"
